sample_id,headline,desk,prompt,deviation,abs_deviation,rank
0,"As Deadline Lapses, Trump Administration Continues TikTok Ta",Business,D,-0.07311269208892346,0.07311269208892346,1
0,"As Deadline Lapses, Trump Administration Continues TikTok Ta",Business,A,0.11000159338841009,0.11000159338841009,2
0,"As Deadline Lapses, Trump Administration Continues TikTok Ta",Business,B,0.25018025751018697,0.25018025751018697,3
0,"As Deadline Lapses, Trump Administration Continues TikTok Ta",Business,E,0.48901910055428743,0.48901910055428743,4
1,TikTok Pushes Back Against Claims It Fuels Antisemitism,Business,D,-0.06098978989757603,0.06098978989757603,1
1,TikTok Pushes Back Against Claims It Fuels Antisemitism,Business,E,-0.13421701996897656,0.13421701996897656,2
1,TikTok Pushes Back Against Claims It Fuels Antisemitism,Business,A,0.6138139211883147,0.6138139211883147,3
1,TikTok Pushes Back Against Claims It Fuels Antisemitism,Business,B,0.8117193101594844,0.8117193101594844,4
2,"Before Ukraine Invasion, Russia and China Cemented Economic ",Business,E,0.9066216315970652,0.9066216315970652,1
2,"Before Ukraine Invasion, Russia and China Cemented Economic ",Business,D,1.1297997143636975,1.1297997143636975,2
2,"Before Ukraine Invasion, Russia and China Cemented Economic ",Business,A,1.183356097356106,1.183356097356106,3
2,"Before Ukraine Invasion, Russia and China Cemented Economic ",Business,B,1.1854271387888327,1.1854271387888327,4
3,"With Harsh Words, China’s Military Denies It Hacked Equifax",Business,D,0.2190856744612878,0.2190856744612878,1
3,"With Harsh Words, China’s Military Denies It Hacked Equifax",Business,E,0.28668691380880773,0.28668691380880773,2
3,"With Harsh Words, China’s Military Denies It Hacked Equifax",Business,A,0.40123891413936186,0.40123891413936186,3
3,"With Harsh Words, China’s Military Denies It Hacked Equifax",Business,B,1.0352321066634937,1.0352321066634937,4
4,Senators Say TikTok May Have Misled Congress on Handling of ,Business,E,-0.009762523087879782,0.009762523087879782,1
4,Senators Say TikTok May Have Misled Congress on Handling of ,Business,B,-0.12830358201689607,0.12830358201689607,2
4,Senators Say TikTok May Have Misled Congress on Handling of ,Business,D,-0.12963680479313355,0.12963680479313355,3
4,Senators Say TikTok May Have Misled Congress on Handling of ,Business,A,-0.29712755632741994,0.29712755632741994,4
5,Who Gains From Elon Musk’s Visit to China?,Business,D,1.5547677673591624,1.5547677673591624,1
5,Who Gains From Elon Musk’s Visit to China?,Business,E,1.604896913338009,1.604896913338009,2
5,Who Gains From Elon Musk’s Visit to China?,Business,A,1.6391069298103775,1.6391069298103775,3
5,Who Gains From Elon Musk’s Visit to China?,Business,B,1.7709705484679914,1.7709705484679914,4
6,TikTok Prompts Users to Call Congress to Fight Possible Ban,Business,E,0.7131171452605891,0.7131171452605891,1
6,TikTok Prompts Users to Call Congress to Fight Possible Ban,Business,D,0.8258156330428191,0.8258156330428191,2
6,TikTok Prompts Users to Call Congress to Fight Possible Ban,Business,A,1.6493321396669167,1.6493321396669167,3
6,TikTok Prompts Users to Call Congress to Fight Possible Ban,Business,B,1.671397161592419,1.671397161592419,4
7,A coalition of state attorneys general opens an investigatio,Business,E,0.13582999404105872,0.13582999404105872,1
7,A coalition of state attorneys general opens an investigatio,Business,D,0.15820826321012438,0.15820826321012438,2
7,A coalition of state attorneys general opens an investigatio,Business,A,0.3290088946620623,0.3290088946620623,3
7,A coalition of state attorneys general opens an investigatio,Business,B,0.7940545207303431,0.7940545207303431,4
8,Halting China’s Economy Was Hard. Restarting It Is Harder.,Business,B,0.4369874152018587,0.4369874152018587,1
8,Halting China’s Economy Was Hard. Restarting It Is Harder.,Business,D,0.5098439677385614,0.5098439677385614,2
8,Halting China’s Economy Was Hard. Restarting It Is Harder.,Business,E,0.5962233015646539,0.5962233015646539,3
8,Halting China’s Economy Was Hard. Restarting It Is Harder.,Business,A,0.6490923755853956,0.6490923755853956,4
9,China pushes for regular mass testing in its ‘zero Covid’ pu,Business,D,0.1693745833148973,0.1693745833148973,1
9,China pushes for regular mass testing in its ‘zero Covid’ pu,Business,A,0.6220182798958074,0.6220182798958074,2
9,China pushes for regular mass testing in its ‘zero Covid’ pu,Business,E,0.6685575234134579,0.6685575234134579,3
9,China pushes for regular mass testing in its ‘zero Covid’ pu,Business,B,1.130742751967369,1.130742751967369,4
10,"After Agnes Chow Is Arrested in Hong Kong, a ‘Mulan’ Meme Is",Foreign,E,1.6449788364116102,1.6449788364116102,1
10,"After Agnes Chow Is Arrested in Hong Kong, a ‘Mulan’ Meme Is",Foreign,A,1.6920520318154662,1.6920520318154662,2
10,"After Agnes Chow Is Arrested in Hong Kong, a ‘Mulan’ Meme Is",Foreign,D,1.8875218892676964,1.8875218892676964,3
